,author,published_at,updated_at,like_count,Comment
0,@dhruvrathee,2024-03-15T15:46:22Z,2024-03-16T12:09:00Z,8353,"Today, is 10th Day of Fast for Sonam Wangchuk. Subscribe to his channel and show him support - <a href=""https://youtube.com/@SonamWangchuk66?si=K0VHHntkIzN9YzpR"">https://youtube.com/@SonamWangchuk66?si=K0VHHntkIzN9YzpR</a><br><br><br> Unleash the power of Audiobooks! <br>Get 70% off on your 1st month – just ₹29 with code : DHRUV70<br>Get Kuku FM : <a href=""https://kukufm.sng.link/Apksi/1ocn/9n2s"">https://kukufm.sng.link/Apksi/1ocn/9n2s</a>"
1,@KrishnaDas-vc6vo,2024-03-17T11:16:05Z,2024-03-17T11:16:05Z,0,Why you are silent on sandeshkhali BDSK
2,@PremiumCar78,2024-03-17T11:15:58Z,2024-03-17T11:15:58Z,0,BJP walo ki ulti ginti shuru. Ye andhbakto ko malum nhi druvrathee se panga lena bhari padega..
3,@VillageCookingChannelTelangana,2024-03-17T11:15:48Z,2024-03-17T11:15:48Z,0,"i don&#39;t have words to say how much ur great to collect such a news and articles. .. how can u know all current affairs things,  im really socked?"
4,@hafizfurqan2565,2024-03-17T11:15:44Z,2024-03-17T11:15:44Z,0,Very good information garet job brother ❤❤❤
5,@dineshpessumalkhemani5370,2024-03-17T11:15:40Z,2024-03-17T11:15:40Z,0,"किस हद तक देश को विनाश की तरफ धकेला जा रहा है, जानने के लिए कृपया वीडियो को अंत तक देखें।"
6,@mayagoesplaces5391,2024-03-17T11:15:29Z,2024-03-17T11:15:29Z,0,Dhruv thankyou so much mentioning about the Manipur❤
7,@ashwanikumar5957,2024-03-17T11:14:53Z,2024-03-17T11:14:53Z,0,great initiative
8,@KhushiSharawat-dx7lz,2024-03-17T11:14:36Z,2024-03-17T11:14:36Z,0,Osm work dhruv
9,@abdulmaniyar748,2024-03-17T11:13:17Z,2024-03-17T11:13:17Z,0,🇮🇳👌💯🎉
10,@Kanha117,2024-03-17T11:12:39Z,2024-03-17T11:12:39Z,0,Bharat Apna Kam krna Janta h Kya krna h...
11,@mentalss5782,2024-03-17T11:12:31Z,2024-03-17T11:12:31Z,0,Ye jumlo ki sarkar h inke sare wade bs vote lene k liye hota h.
12,@shikwahai,2024-03-17T11:12:17Z,2024-03-17T11:12:17Z,0,@dhruvrathee bro please make video on Gujrat University conflict 😢
13,@kidsfunny8614,2024-03-17T11:11:56Z,2024-03-17T11:11:56Z,1,ye bjp ke log he . padhe likhe log yaha bolte he 500rs petrol ho jaye fir bhi bjp hi aayega . yaha hindi muslim ke siva kisi ko kuch nahi dikhta hai
14,@informationtudents2000,2024-03-17T11:10:37Z,2024-03-17T11:10:37Z,0,😢😢😢😢😢
15,@sumeshsinghnagpal7155,2024-03-17T11:10:32Z,2024-03-17T11:10:32Z,0,Very good❤❤
16,@galaxyoffacts1720,2024-03-17T11:10:16Z,2024-03-17T11:10:16Z,0,All umemployed are commenting here🫥
17,@gayatribora749,2024-03-17T11:08:47Z,2024-03-17T11:08:47Z,0,Support Ladakh ✊🏻 they should get their right 🥺
18,@user-pn7ry7qt8z,2024-03-17T11:08:44Z,2024-03-17T11:08:44Z,0,One man army 💪❤
19,@totalfitnesssolutions2004,2024-03-17T11:08:35Z,2024-03-17T11:10:01Z,0,"Bhai ek video aisa banao jismein yeah dikhao ki bjp haarnay k baad ruling party v law and order bigar kar buldozer chalwayega bjp netao k ghar par or ed, cbi bhijwayega modi yogi or amit shah k ghar fir kaisa lagega, <br>In short jaisay ko taisa"
20,@shahrukhsheikh6071,2024-03-17T11:08:23Z,2024-03-17T11:08:23Z,0,Lagegi aag shahar me to ayenge kai ghar zad me<br>Yaha sirf hamara makan thodi hai
21,@HowReview,2024-03-17T11:08:09Z,2024-03-17T11:08:09Z,0,Sir glaze trading india pvt ltd ka ek video banao please
22,@afreenshaik3674,2024-03-17T11:07:46Z,2024-03-17T11:07:46Z,0,Really worried whats the future of Ladhak and its beauty...we are with you dear Ladhak
23,@siddharthasingh653,2024-03-17T11:07:21Z,2024-03-17T11:14:54Z,0,🙏🙏BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. <br><br>🙏🙏🙏🙏🙏🙏🙏🙏🙏 Please Please Please Please Please Please Please Please Please Please Please Please<br><br>This work of yours will be very great Dhruv Rathi sir
24,@armyrusharmyrush6737,2024-03-17T11:07:19Z,2024-03-17T11:07:19Z,0,Plz Sab log Video Sahre Karo Or Video Ko Like Karna Ham Sab Ko Dhuru Rathee Ko Support Karna hai inka Hosla Badana hai
25,@AdityaSharma-nz2if,2024-03-17T11:07:06Z,2024-03-17T11:07:06Z,1,BJP 😂😂😂hi aayegi 😅 <br>Bjp ko Target 🎯 kar raha beta 😅
26,@aniketsingh6563,2024-03-17T11:06:59Z,2024-03-17T11:06:59Z,0,"Modi hatao, Desh bachao."
27,@siddharthasingh653,2024-03-17T11:06:58Z,2024-03-17T11:15:08Z,0,🙏🙏BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. <br><br>🙏🙏🙏🙏🙏🙏🙏🙏🙏 Please Please Please Please Please Please Please Please Please Please Please Please<br><br>This work of yours will be very great Dhruv Rathi sir
28,@smart2117,2024-03-17T11:06:52Z,2024-03-17T11:06:52Z,0,Modi desh ko khaa jaayega... Chor pradhan Mantri... Modi hatao desh bachao...
29,@siddharthasingh653,2024-03-17T11:06:51Z,2024-03-17T11:15:19Z,0,🙏🙏BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. <br><br>🙏🙏🙏🙏🙏🙏🙏🙏🙏 Please Please Please Please Please Please Please Please Please Please Please Please<br><br>This work of yours will be very great Dhruv Rathi sir
30,@rigzenchorol8419,2024-03-17T11:06:46Z,2024-03-17T11:06:46Z,0,Thnkew so much bro
31,@siddharthasingh653,2024-03-17T11:06:41Z,2024-03-17T11:15:31Z,0,🙏🙏BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. <br><br>🙏🙏🙏🙏🙏🙏🙏🙏🙏 Please Please Please Please Please Please Please Please Please Please Please Please<br><br>This work of yours will be very great Dhruv Rathi sir
32,@devendrapratapsinghs,2024-03-17T11:06:38Z,2024-03-17T11:06:38Z,0,Very true....govt so Rahi hai
33,@siddharthasingh653,2024-03-17T11:06:30Z,2024-03-17T11:15:45Z,0,🙏🙏BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. <br><br>🙏🙏🙏🙏🙏🙏🙏🙏🙏 Please Please Please Please Please Please Please Please Please Please Please Please<br><br>This work of yours will be very great Dhruv Rathi sir
34,@lone40374,2024-03-17T11:06:30Z,2024-03-17T11:06:30Z,1,✅✅✅
35,@lone40374,2024-03-17T11:06:20Z,2024-03-17T11:06:20Z,1,📈📈📈
36,@Doubt-Session,2024-03-17T11:06:12Z,2024-03-17T11:06:12Z,0,Support Ladakh ❤
37,@prabalkumarsamanta8333,2024-03-17T11:05:33Z,2024-03-17T11:05:33Z,0,What will happen to the billions dollars worth lithium reserves in that region.  Will they not be extracted?
38,@lone40374,2024-03-17T11:05:24Z,2024-03-17T11:05:24Z,1,War rukaa de papa😂
39,@middle-classentrepreneur2949,2024-03-17T11:05:08Z,2024-03-17T11:05:08Z,0,Election Slap 😂
40,@siddharthasingh653,2024-03-17T11:04:06Z,2024-03-17T11:14:33Z,1,🙏🙏🙏🙏BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. 🙏🙏🙏🙏🙏🙏🙏🙏🙏 Please Please Please Please Please Please Please Please Please Please Please Please<br><br>This work of yours will be very great Dhruv Rathi sir
41,@aakashbokadiya,2024-03-17T11:03:41Z,2024-03-17T11:03:41Z,0,Hamare desh ka Media bikau h jise BJP n Kharid rakha h
42,@gulshanyaduvanshi1105,2024-03-17T11:03:36Z,2024-03-17T11:03:36Z,0,Saala media Modi ki garanti kai sibaye kuch dikhati hi nhi hai😂😂
43,@sarfrazkhanghori7204,2024-03-17T11:03:16Z,2024-03-17T11:03:16Z,0,Sad
44,@nussruddingaming1515,2024-03-17T11:03:11Z,2024-03-17T11:03:11Z,0,Thanks for bringing up issues which are of national interest
45,@ZHERILAMEMER,2024-03-17T11:02:59Z,2024-03-17T11:02:59Z,0,❤hm ladak  ke sath hai
46,@sufiyanjamadar2148,2024-03-17T11:02:54Z,2024-03-17T11:02:54Z,0,"Aap bhi tu palestine aur Israel ki war par koi awaz nahi utha rahe jab Ukraine aur Russia ki war chal Rahi thi jab ye 3 ,4  video bana chuky thy ...ye secularism k naam pe sirf Paisa chap rahe hain logon ko dikha k dekho main main secularism ko Manta ho...aur bhi hain youtuber jo secularism ko dhal bana kar apna business chalate hain ....no doubt aap ka content best aur knowledgeable huta hai ..but aap ne jab haldwani main protest ho Raha tha jab video kyoun nahi banai..jab Maharashtra main kuch logon ne masjid main juhss kar muslims ko Peeta  berami se tab video kyoun nahi aai.....jab dusre han protest huta ya kuch huta hai tu badi jaldi video bana dete ho....aisa kyon??😢.  Answer it.ho sake tu🤧😏😏"
47,@shivsingar111,2024-03-17T11:02:49Z,2024-03-17T11:02:49Z,0,Dhruv Rathee is a bad working for against Modi and BJP party the all party is not bad you are bad
48,@sufiyanjamadar2148,2024-03-17T11:02:44Z,2024-03-17T11:02:44Z,1,"Aap bhi tu palestine aur Israel ki war par koi awaz nahi utha rahe jab Ukraine aur Russia ki war chal Rahi thi jab ye 3 ,4  video bana chuky thy ...ye secularism k naam pe sirf Paisa chap rahe hain logon ko dikha k dekho main main secularism ko Manta ho...aur bhi hain youtuber jo secularism ko dhal bana kar apna business chalate hain ....no doubt aap ka content best aur knowledgeable huta hai ..but aap ne jab haldwani main protest ho Raha tha jab video kyoun nahi banai..jab Maharashtra main kuch logon ne masjid main juhss kar muslims ko Peeta  berami se tab video kyoun nahi aai.....jab dusre han protest huta ya kuch huta hai tu badi jaldi video bana dete ho....aisa kyon??😢.  Answer it.ho sake tu🤧😏😏"
49,@siddharthasingh653,2024-03-17T11:02:33Z,2024-03-17T11:02:33Z,0,BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections.<br><br>Please Please Please Please Please please please please please please
50,@AbdulMajeed-qq7pp,2024-03-17T11:02:29Z,2024-03-17T11:02:29Z,0,❤ good information
51,@informationtudents2000,2024-03-17T11:02:21Z,2024-03-17T11:02:21Z,0,😊😊😊😊
52,@fanan7786,2024-03-17T11:01:57Z,2024-03-17T11:01:57Z,0,"Kam shabdome sari baat kehne ka hunar koi , Aapse sikhe.<br>Dhanyawad !"
53,@siddharthasingh653,2024-03-17T11:01:33Z,2024-03-17T11:01:33Z,0,"BAMCEF is always agitating against political disorders in all the states of India. You are requested to make a video on this topic and tell people about it. So that people can oust BJP from power in the Lok Sabha elections. <br><br>Please, I requested you"
54,@SkWasimAkram,2024-03-17T11:01:13Z,2024-03-17T11:01:13Z,0,Shameless media 💔🤌🏻🙂
55,@IndianNayabVlogs,2024-03-17T11:01:12Z,2024-03-17T11:01:12Z,0,I&#39;m muslim and i support @dhruvrathee ❤
56,@Dhamakamusic888,2024-03-17T11:00:42Z,2024-03-17T11:00:42Z,0,Jab tak ye sarkar rahegi  desh aur desh ka sambidhan hann hota hi rahega
57,@SunnySingh-op8yc,2024-03-17T11:00:32Z,2024-03-17T11:00:32Z,0,Modi chor hai
58,@vaibhavgour8416,2024-03-17T10:59:46Z,2024-03-17T10:59:46Z,0,Great work
59,@sufiyanjamadar2148,2024-03-17T10:59:43Z,2024-03-17T11:01:21Z,1,"Aap bhi tu palestine aur Israel ki war par koi awaz nahi utha rahe jab Ukraine aur Russia ki war chal Rahi thi jab ye 3 ,4  video bana chuky thy ...ye secularism k naam pe sirf Paisa chap rahe hain logon ko dikha k dekho main main secularism ko Manta ho...aur bhi hain youtuber jo secularism ko dhal bana kar apna business chalate hain ....no doubt aap ka content best aur knowledgeable huta hai ..but aap ne jab haldwani main protest ho Raha tha jab video kyoun nahi banai..jab Maharashtra main kuch logon ne masjid main juhss kar muslims ko Peeta  berami se tab video kyoun nahi aai.....jab dusre han protest huta ya kuch huta hai tu badi jaldi video bana dete ho....aisa kyon??😢.  Answer it.ho sake tu🤧😏😏"
60,@indiasfort001,2024-03-17T10:59:04Z,2024-03-17T10:59:04Z,0,Sher🔥
61,@nafeesansari269,2024-03-17T10:59:00Z,2024-03-17T10:59:00Z,0,Save ladhakh from devil
62,@urssam_10,2024-03-17T10:56:54Z,2024-03-17T10:56:54Z,0,Imagine you are making this video and still bjp win with 400 seats😂😂
63,@shivaprasad2798,2024-03-17T10:56:25Z,2024-03-17T10:56:25Z,0,LOVELY UNIVERSITY PE VIDEO BANO BHAI
64,@jphadiyal365,2024-03-17T10:56:01Z,2024-03-17T10:56:01Z,1,We want youtubers like dhruve rathee 🇮🇳
65,@iNDIAMERCA,2024-03-17T10:55:39Z,2024-03-17T10:55:39Z,1,Bjp hatao Desh bachao
66,@Hadria_,2024-03-17T10:55:31Z,2024-03-17T10:55:31Z,0,Hate BJP
67,@alokbehera2837,2024-03-17T10:55:29Z,2024-03-17T10:55:29Z,0,All Front Line New Channel Are Not Focus The Real Issues
68,@Angelina-xg2jk,2024-03-17T10:55:19Z,2024-03-17T10:55:19Z,1,Never in my life  going to vote for BJP😏
69,@vidhanjain5473,2024-03-17T10:55:07Z,2024-03-17T10:55:07Z,1,dhruv rathee : muje award ke liye nhi bulaya isiliye main modi ke against boluga
70,@skayownertomidearth1151,2024-03-17T10:54:40Z,2024-03-17T10:54:40Z,0,Why so much aids
71,@ALLRounderContentno.1,2024-03-17T10:54:39Z,2024-03-17T10:54:39Z,0,What about maratha protest in mumbai
72,@nisansardar9544,2024-03-17T10:53:59Z,2024-03-17T10:53:59Z,0,"sir i have a file for youth employment ,you an only one person how can post . it&#39;s very helpful for youth and indian economy"
73,@priyanshiparihar8308,2024-03-17T10:53:44Z,2024-03-17T10:53:44Z,0,Special status can make another 370 like problem in Ladakh think about that
74,@bobbyyame21,2024-03-17T10:53:25Z,2024-03-17T10:53:25Z,0,Support for sonam wangchuk
75,@shivangikannojiya2331,2024-03-17T10:53:08Z,2024-03-17T10:53:08Z,1,Mene to ye news tv channel par dekha hi nhi😂😂
76,@dipskrshn,2024-03-17T10:52:25Z,2024-03-17T10:52:25Z,0,"पर तुम्हारी पार्टी कांग्रेस ने तो कभी जंगल जाड़ी पर्यावरण इन सबको बचाने की बात नही की बल्कि उसने तो सिर्फ सनातन हिंदू और सनातन संस्कृति को खत्म करने की बात करती हुई दिख रही है जातियों में बाटने की बात कर रही है जिससे लोग और राक्षसी बन जाए ...! सिर्फ मुसलमान, क्रिश्चियन और अधर्मी लोगो का शासन लाना चाहते हो और तुम्हारी पार्टी तो बीफ पार्टी और मांसाहार की बात करती है जिससे सबसे ज्यादा कुदरत नुकसान हो रहा है और प्रदूषण भी.. और सनातन संस्कृति को खत्म करना चाहती है जो वसुधैव कुटुंबकम् और शाकाहार की बात करता है आखिर क्यों तुम कांग्रेस को इतना सपोर्ट करते हो.. लोगो ने इतने सालो से कुछ तो गलती कांग्रेस और आप में देखी होगी.. वक्फ बोर्ड को सारी जमीन बाट देनी है क्या.. या पूरे देश को राक्षस जाति को देने चाहते हो जो सब बरबाद कर देंगे..भाई क्या करना चाहते हो.. कभी कांग्रेस और आप की भी तो पोल खोलो..क्या उनकी कोई गलती होती ही नही थी और जब लोग प्रोटेस्ट करते थे तो कांग्रेस और आप प्रोटेस्ट के सब मुद्दे मान लेती है और लोगो के प्रोब्लम सोल्व हो जाते है.. विरोध तो अमेरिका में भी सत्ताधारी प्रेसिडेंट के खिलाफ होता रहता है .. जम्मू कश्मीर का मुद्दा भी 400 के पार के बाद ही खत्म हो सकता है... भारत के हिंदू राष्ट्र बनते ही..अगर इस बार नहीं तो तुम खुद को सनातनी हिंदू कहने के लायक नहीं रहोगे.."
77,@ItsSweety..,2024-03-17T10:52:17Z,2024-03-17T10:52:17Z,0,# Save Ladakh Save Environment Save Democracy
78,@HarjeetRathod,2024-03-17T10:52:13Z,2024-03-17T10:52:13Z,0,😢
79,@Shoaib_gaming05,2024-03-17T10:52:09Z,2024-03-17T10:52:09Z,0,Agar ye india me hoke video bana deta to ab tak Pakistan ka admi btaker fansi cgada dete😂😂😂
80,@aaquibalam1834,2024-03-17T10:52:00Z,2024-03-17T10:52:00Z,0,Bhai wo kaha chala gya &quot;Ye hai Tumhara Insaf&quot; Bolne wala😂😂😂
81,@LofiBeatz631,2024-03-17T10:50:05Z,2024-03-17T10:50:05Z,1,bjp hate button
82,@rohitbabu3775,2024-03-17T10:49:53Z,2024-03-17T10:49:53Z,0,Bjp htao desh bachao tabhi desh bachega
83,@MohammedAteeqUrRahman,2024-03-17T10:49:26Z,2024-03-17T10:49:26Z,0,Thanks dhruv sir it is necessary to educate the people until it is coming on you tube we didn&#39;t know what is going on in ladakh. Its look all nothing but greediness to earn money by this corrupt mafia. And the other corrupt mafia not showing in any news channel. <br>I pray all Indians should become like dhruv rathi like people. Jai Hind.
84,@makelifeeasier363,2024-03-17T10:49:17Z,2024-03-17T10:49:17Z,0,Why not trending 🤔🤔
85,@shockwaveknowledge7119,2024-03-17T10:49:02Z,2024-03-17T10:49:02Z,0,Rancho anshan p baitha h 😮
86,@deachenlhamo8484,2024-03-17T10:49:01Z,2024-03-17T10:49:01Z,0,Thank you sir.।
87,@kandelbikash916,2024-03-17T10:48:39Z,2024-03-17T10:48:39Z,0,Tu B J p anty hay kya land kate
88,@memes12594,2024-03-17T10:48:35Z,2024-03-17T10:49:20Z,0,Bhai ek video delhi liquor scam aur sandeshkhali ke bare mein bhi video banao
89,@user-tn1rg7wh2z,2024-03-17T10:48:02Z,2024-03-17T10:48:02Z,0,"Pls make video on west Bengal,karnataka"
90,@Median09,2024-03-17T10:47:21Z,2024-03-17T10:47:29Z,0,"But what else can be done ,there is no better gov than bjp 🤷‍♂️."
91,@crazyspmehara6283,2024-03-17T10:47:13Z,2024-03-17T10:47:13Z,0,"I&#39;m from Bihar,  we stand with dhorve rathe, and I also support ladakh people ❤"
92,@chiranjibkotoky1324,2024-03-17T10:46:43Z,2024-03-17T10:49:06Z,0,We are with the people of Ladakh✊..BJP and Modi go back..love from Assam
93,@purvisondhiya8030,2024-03-17T10:46:36Z,2024-03-17T10:46:36Z,0,Sir fir v uneducated log modi ko hi vote krne vale h bcoz of dharm😢 India ko bachana bhut jaruri h
94,@pouguanglinkamei,2024-03-17T10:46:32Z,2024-03-17T10:46:32Z,0,Let the world see this and take massive action to push the concerned authorities to respond to it.
95,@Universalmusic5,2024-03-17T10:46:21Z,2024-03-17T10:46:21Z,2,Bhai pata nahi kyu youTube inki video ko trending me nhi lata hai jabki 1 din me 50 lakhs views aye hain
96,@masoomali66,2024-03-17T10:46:06Z,2024-03-17T10:46:06Z,0,electoral bonds par video
97,@dhirajthorat6301,2024-03-17T10:45:40Z,2024-03-17T10:45:40Z,0,Bhai Modi ke pas. black magic..hey...o..kisi kei bhe Awaz daba sakta hey
98,@AjadKhan-wh3dl,2024-03-17T10:45:24Z,2024-03-17T10:45:24Z,0,Yah to sala Godi media dikhaega Nahin Sab Chor Hai sale
99,@nasreensyed6451,2024-03-17T10:44:44Z,2024-03-17T10:44:44Z,0,👍❤
